Time,Vx,Vy,Rep,Block,Time,Condition,ID,pos x,pos y
3508.2118,0.33033440098677147,0.6070745816674616,1,1,0,square_left,1,30.23742694014342,-9.67142613180138
3508.2158,0.21599400237363398,0.44678437481351807,1,1,1,square_left,1,30.23832691515331,-9.669564530239658
3508.2197,0.08925893142901486,0.2748367799915741,1,1,2,square_left,1,30.238698827367596,-9.668419376989693
3508.2238,-0.049750100311598544,0.09440302243731935,1,1,3,square_left,1,30.238491535282964,-9.66802603106287
3508.2288,-0.2008929703831086,-0.09072634129793755,1,1,4,square_left,1,30.2376544812397,-9.668404057484945
3508.2328,-0.36404077034234206,-0.27610987995345226,1,1,5,square_left,1,30.23613764469661,-9.669554515318085
3508.2368,-0.5390845006633072,-0.4566272177540043,1,1,6,square_left,1,30.233891459277178,-9.671457128725393
3508.2407,-0.7259092802792111,-0.6264630574634111,1,1,7,square_left,1,30.230866837276015,-9.674067391464824
3508.2448,-0.9243631265664476,-0.7791034096386795,1,1,8,square_left,1,30.227015324248654,-9.677313655671652
3508.2488,-1.134242073755729,-0.9073617367954512,1,1,9,square_left,1,30.222289315608005,-9.681094329574966
3508.2538,-1.3552829248018838,-1.0034531591243478,1,1,10,square_left,1,30.21664230342133,-9.685275384404651
3508.2578,-1.5871550124685996,-1.0591064697447905,1,1,11,square_left,1,30.210029157536045,-9.689688328028588
3508.2617,-1.8294368353863888,-1.0656542565222082,1,1,12,square_left,1,30.20240650405527,-9.69412855409743
3508.2658,-2.0815723729168667,-1.01407609115725,1,1,13,square_left,1,30.19373328583478,-9.698353871143919
3508.2698,-2.342814088200953,-0.8950534607083682,1,1,14,square_left,1,30.183971560467278,-9.702083260563537
3508.2745,-2.612140970571488,-0.6990328111133692,1,1,15,square_left,1,30.173087639756563,-9.70499589727651
3508.2787,-2.8881570898610676,-0.4162574512406536,1,1,16,square_left,1,30.161053651882142,-9.706730303323345
3508.2827,-3.1690012656085287,-0.036820195889788465,1,1,17,square_left,1,30.147849479942106,-9.70688372080622
3508.2867,-3.452269273243189,0.44922012518568977,1,1,18,square_left,1,30.133465024636926,-9.705011970284612
3508.2907,-3.7349351123177144,1.0516914790143517,1,1,19,square_left,1,30.11790279500227,-9.700629922455386
3508.2967,-4.013275340319922,1.7801611116303206,1,1,20,square_left,1,30.101180814417603,-9.69321258449026
3508.2988,-4.282795582930703,2.6437724681122177,1,1,21,square_left,1,30.08333583282206,-9.682196865873125
3508.3037,-4.538148584932458,3.651025324415542,1,1,22,square_left,1,30.06442688038484,-9.666984260354727
3508.3078,-4.773044764445444,4.8094940576875445,1,1,23,square_left,1,30.044539193866317,-9.64694470178103
3508.3117,-4.980160033905179,6.125544629235122,1,1,24,square_left,1,30.02378852705838,-9.621421599159216
3508.3157,-5.151044308768746,7.604060713349696,1,1,25,square_left,1,30.00232584243851,-9.589738012853593
3508.3197,-5.276035891903348,9.248109215616438,1,1,26,square_left,1,29.98034235955558,-9.55120422445519
3508.3244,-5.344173407713413,11.05855273183792,1,1,27,square_left,1,29.958074970356773,-9.505126921405866
3508.3287,-5.343109365460066,13.033646360459699,1,1,28,square_left,1,29.935812014667356,-9.450820061570617
3508.3328,-5.259051681508993,15.168576195504784,1,1,29,square_left,1,29.913899299327735,-9.387617660756014
3508.3367,-5.076737054239402,17.454927448788737,1,1,30,square_left,1,29.892746228268404,-9.314888796386061
3508.3408,-4.779429576038581,19.880152173433743,1,1,31,square_left,1,29.872831938368243,-9.232054828996754
3508.3447,-4.349051101782493,22.427303990986758,1,1,32,square_left,1,29.854710892110816,-9.138607729034309
3508.3497,-3.7667817406699555,25.075576346683874,1,1,33,square_left,1,29.839015968191358,-9.034126160923126
3508.3537,-3.014441571606028,27.80180024121421,1,1,34,square_left,1,29.826455794976333,-8.918285326584733
3508.3578,-2.076447230531926,30.58223288426902,1,1,35,square_left,1,29.817803931515783,-8.790859356233613
3508.3617,-0.9416677234429471,33.39391663494894,1,1,36,square_left,1,29.813880316001438,-8.651718036921325
3508.3657,0.395372070715041,36.21540218768985,1,1,37,square_left,1,29.815527699629417,-8.500820527805951
3508.3697,1.9340180897330583,39.02686108514189,1,1,38,square_left,1,29.823586108336638,-8.33820860661786
3508.3744,3.6675541048433047,41.809737996880045,1,1,39,square_left,1,29.838867583773485,-8.164001364964193
3508.3787,5.583661801163942,44.54624533575924,1,1,40,square_left,1,29.862132841278335,-7.978392009398529
3508.3827,7.665204332834321,47.21896156951573,1,1,41,square_left,1,29.894071192665145,-7.781646336192214
3508.3868,9.891255599508781,49.81068544843424,1,1,42,square_left,1,29.935284757663098,-7.574101813490405
3508.3908,12.238289314838937,52.30462874215796,1,1,43,square_left,1,29.98627762980826,-7.35616586039808
3508.3947,14.681440224800042,54.68487793297285,1,1,44,square_left,1,30.047450297411594,-7.128312202344026
3508.3997,17.195734814181947,56.9369806581944,1,1,45,square_left,1,30.119099192470685,-6.891074782934883
3508.4037,19.757188942670325,59.0486072174204,1,1,46,square_left,1,30.201420813065145,-6.6450389195289645
3508.4078,22.343699508049895,61.0102089822157,1,1,47,square_left,1,30.294519561015353,-6.390829715436399
3508.4117,24.935732290070973,62.81553281035933,1,1,48,square_left,1,30.398418445557315,-6.129098328726569
3508.4157,27.516852005448413,64.46198517891993,1,1,49,square_left,1,30.513071995580017,-5.860506723814402
3508.4197,30.074111961150436,65.95090627990416,1,1,50,square_left,1,30.638380795418144,-5.585711280981468
3508.4244,32.5983097136006,67.28769318986771,1,1,51,square_left,1,30.77420708589148,-5.305345892690353
3508.4287,35.0841303374159,68.48167022942818,1,1,52,square_left,1,30.92039096229738,-5.020005600067735
3508.4327,37.530126774642554,69.54568453396838,1,1,53,square_left,1,31.076766490525056,-4.730231914509534
3508.4368,39.93825105693048,70.49539727207282,1,1,54,square_left,1,31.243175869928933,-4.436501092542564
3508.4408,42.31264809417894,71.34815634960361,1,1,55,square_left,1,31.419478570321346,-4.139217107752549
